OBJECTID,PUDNAME,SPDNAME,TYPE,BASE_ZONE,OVERLAY,PROJ_NUMB,ORDINANCE,ORD_DATE,CHANG_DATE,ZONE,URL,DESCRIPTION,Shape__Area,Shape__Length
6505, ,Central City,C,OB,SPD,LR16-006,2018-0012,04/19/2018,06/06/2018,OB-SPD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-i&frames=on,Low-Rise Mixed-Use Zone,29020.1865234375,682.128192830985
6506, ,Central City,C,OB,SPD,LR16-006,2018-0012,04/19/2018,06/06/2018,OB-SPD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-i&frames=on,Low-Rise Mixed-Use Zone,38348.6220703125,800.039642326335
6507, ,Central City,C,OB,SPD,LR16-006,2018-0012,04/19/2018,06/06/2018,OB-SPD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-i&frames=on,Low-Rise Mixed-Use Zone,39116.2177734375,806.936812156803
6508, ,Central City,C,OB,SPD,LR16-006,2018-0012,04/19/2018,06/06/2018,OB-SPD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-i&frames=on,Low-Rise Mixed-Use Zone,23968.392578125,658.131702566505
6509,GRANITE REGIONAL PARK, ,C,OB,SWR-PUD,M03-005,2003-042,08/19/2003,,OB-SWR-PUD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-i&frames=on,Low-Rise Mixed-Use Zone,1013233.51757813,4072.36513322112
6510,GRANITE REGIONAL PARK, ,C,OB,SWR-PUD,M03-005,2003-042,08/19/2003,,OB-SWR-PUD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-i&frames=on,Low-Rise Mixed-Use Zone,495569.286132813,2851.04864248892
6511,GRANITE REGIONAL PARK, ,C,OB,SWR-PUD,M03-005,2003-042,08/19/2003,,OB-SWR-PUD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-i&frames=on,Low-Rise Mixed-Use Zone,660643.760742188,3356.28647351666
6512,NORTHBOROUGH, ,R,R-1,PUD, , ,,,R-1-PUD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,195555.654296875,2660.80074397953
6513,MAIN AVENUE BUSINESS PARK, ,R,R-1,PUD, , ,,,R-1-PUD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,103294.41796875,1304.49141460844
6514,MAIN AVENUE BUSINESS PARK, ,R,R-1,PUD, , ,,,R-1-PUD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,400368.61328125,7214.68205805627
6515, , ,R,R-1,EA-2, , ,,01/17/2012,R-1-EA-2,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,978724.837890625,11453.8197001157
6516, , ,R,R-1,EA-2, , ,,01/17/2012,R-1-EA-2,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,73898.2314453125,1329.30204760528
6517, , ,R,R-1,EA-2, , ,,01/17/2012,R-1-EA-2,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,1807266.70703125,5811.26875884265
6518, , ,R,R-1,EA-4, , ,,01/17/2012,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,80595.6044921875,1569.18300032693
6519, , ,R,R-1,EA-2, , ,,01/17/2012,R-1-EA-2,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,62571.283203125,1134.89571521327
6520, , ,R,R-1,EA-2, , ,,01/17/2012,R-1-EA-2,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,49642.41015625,973.011678142269
6521, , ,R,R-1,EA-2, , ,,01/17/2012,R-1-EA-2,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,92565.4404296875,1460.57334221182
6522, , ,R,R-1,EA-4, , ,,01/17/2012,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,64221.646484375,1093.16146729562
6523, , ,R,R-1,EA-2, , ,,01/17/2012,R-1-EA-2,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,82899.685546875,1362.96989693916
6524, , ,R,R-1,EA-2, , ,,01/17/2012,R-1-EA-2,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,125700.379882813,1795.92928001427
6525, , ,R,R-1,EA-2, , ,,01/17/2012,R-1-EA-2,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,110654.83203125,1698.1891694824
6526, , ,R,R-1,EA-4, , ,,01/17/2012,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,61784.365234375,1137.79754283143
6527, , ,R,R-1,EA-2, , ,,01/17/2012,R-1-EA-2,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,117806.893554688,1736.74538687712
6528, , ,R,R-1,EA-2, , ,,01/17/2012,R-1-EA-2,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,147321.583984375,2102.70682993487
6529, , ,R,R-1,EA-2, , ,,01/17/2012,R-1-EA-2,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,72526.5732421875,1299.40236915671
6530, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,99503.935546875,1670.29001578354
6531, , ,R,R-1,EA-4, , ,,01/17/2012,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,149690.1640625,2165.38306886199
6532, , ,R,R-1,EA-4, , ,,01/17/2012,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,38395.4482421875,855.964482199453
6533, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,142481.860351563,1720.67505096564
6534, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,222060.66015625,2296.1070446613
6535, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,192576.399414063,2166.38654500756
6536, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,214848.66796875,2228.95257003309
6537, , ,R,R-1,EA-4, , ,,01/17/2012,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,122208.278320313,1845.76482158631
6538, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,215706.861328125,2162.85175531739
6539, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,91575.4189453125,1254.30619437112
6540, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,62892.4599609375,1076.91389979259
6541,GRANITE REGIONAL PARK, ,C,OB,SWR-PUD,M03-005,2003-042,08/19/2003,,OB-SWR-PUD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-i&frames=on,Low-Rise Mixed-Use Zone,231997.602539063,2212.3592516502
6542,GRANITE REGIONAL PARK, ,R,R-1A,SWR-PUD, ,2008-033,06/05/2008,06/17/2008,R-1A-SWR-PUD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,545956.549804688,3193.5940800612
6543, ,Central City,C,OB,SPD,LR16-006,2018-0012,04/19/2018,06/06/2018,OB-SPD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-i&frames=on,Low-Rise Mixed-Use Zone,107826.086914063,1314.57316933081
6544, ,Central City,C,OB,SPD,LR16-006,2018-0012,04/19/2018,06/06/2018,OB-SPD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-i&frames=on,Low-Rise Mixed-Use Zone,13790.27734375,494.731938721786
6545, ,Central City,C,OB,SPD,LR16-006,2018-0012,04/19/2018,06/06/2018,OB-SPD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-i&frames=on,Low-Rise Mixed-Use Zone,110141.838867188,1328.12272826856
6546, , ,C,OB, , , ,,,OB,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-i&frames=on,Low-Rise Mixed-Use Zone,198444.959960938,1971.4297907724
6547, , ,C,OB, , ,2004-015,04/08/2004,,OB,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-i&frames=on,Low-Rise Mixed-Use Zone,251397.6015625,2449.23012836092
6548, ,Del Paso/Arden Wy,C,OB,SPD,LR09-021,2011-014,03/15/2011,04/11/2011,OB-SPD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-i&frames=on,Low-Rise Mixed-Use Zone,29360.30859375,692.943546981447
6549, , ,C,OB, , , ,,,OB,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-i&frames=on,Low-Rise Mixed-Use Zone,41373.0009765625,1136.68524785495
6550, , ,C,OB, , , ,,,OB,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-i&frames=on,Low-Rise Mixed-Use Zone,24188.8984375,758.174633309265
6551, , ,R,R-1,EA-1, , ,,01/17/2012,R-1-EA-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,127757.872070313,1511.61450441396
6552, , ,R,R-1,EA-1, , ,,01/17/2012,R-1-EA-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,39463.9072265625,970.913723246161
6553, , ,R,R-1,EA-1, , ,,01/17/2012,R-1-EA-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,11319.63671875,509.869466216487
6554, , ,R,R-1,EA-1, , ,,01/17/2012,R-1-EA-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,314562.724609375,3351.50243249897
6555, , ,R,R-1,EA-1, , ,,01/17/2012,R-1-EA-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,2644946.08300781,6883.10059921651
6556, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,236979.29296875,2205.5652180617
6557, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,237045.9375,2453.10157310247
6558, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,237370.08203125,2309.00317754041
6559, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,237874.844726563,2942.51440248958
6560, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,238108.768554688,2387.22824970792
6561, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,238149.862304688,2295.86618135255
6562, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,238980.25390625,2544.34545700345
6563, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,238993.221679688,2934.24330276658
6564, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,239348.91015625,2571.61179713362
